Issue Type,Priority,Key,Summary,Status,Assignee,Created,Description,Updated,Project,Sprint,Epic Link,Story Points
Bug - Internal Reported,Functionality Incomplete,IRWIN-146,Terms and Conditions Page - Add multiples(Change Use to checkbox),Closed,Unassigned,9/27/11 13:07,"Billboard/NONAuthorizaton/EntryScreens/TermsConditions.aspx 

Page is not loading. 
",2/3/15 15:33,NDOT - IRWIN,,,
Change Order,Functionality Incomplete,IRWIN-147,Milepost on the Inspection Report need to represent the milepost on the location page,Closed,Brian Conley,9/27/11 13:32,"* Milepost on the Inspection Report need to represent the milepost on the location page. Ref IRWIN log 147 
BILLBOARD\NONAuthorizaton\EntryScreens\Inspections.aspx.vb 

* Need to add a field with a dropdown list seperating the different types of inspections 

Pre-Const 
Post-Const 
QTR Inspection",2/3/15 15:33,NDOT - IRWIN,,,
Change Request - Improvement,System Error,IRWIN-148,Update info from LV issue date,Closed,Unassigned,9/28/11 15:44,"Update the permit issue date and approved permit # 
Need to reverse the first 3 records 

SYS ID # PERMIT # 
113424 <-> 113423 
113439 <-> 113438 
114437 <-> 114436 

Margaret Nutt",2/3/15 15:33,NDOT - IRWIN,,,
Data Configuration,Data Update,IRWIN-149,Unable to upload a document into AX,Closed,Unassigned,9/29/11 13:54,"System ID #: 105698 is assigned to State Route 89. 

From: Nutt, Margaret M [mailto:MNutt@dot.state.nv.us] 
Sent: Thursday, September 29, 2011 1:21 PM 
To: Conley, Brian 
Subject: Unable to upload a document into AX 

This is a Permit that was migrated, see below the Direction is ""U"" this 
is an error. AX has no ""U"" in that field (N,W,S,E,NE,NW,SE,NE,ETC) 

I looked on the Location page(below) and I don't know where that is 
coming from...help! 

Margaret Nutt",2/3/15 15:33,NDOT - IRWIN,,,
Change Request - Improvement,Look and Feel,IRWIN-151,Second reviews,Closed,Unassigned,10/3/11 17:05,"Before 
Second Review 
Result 

Margaret Nutt",2/3/15 15:33,NDOT - IRWIN,,,
Change Request - Improvement,Look and Feel,IRWIN-152,Road Operation Notification page,Closed,Unassigned,10/4/11 12:36,"From: Nutt, Margaret M [mailto:MNutt@dot.state.nv.us] 
Sent: Tuesday, October 04, 2011 5:12 PM 
To: Conley, Brian 
Subject: Change wording 

http://irwappsrv2.irwin.dot.state.nv.us/IRWINTRAINING/PERMITTING/COMMON/ 
Message.aspx 

Margaret Nutt 

While checking the message was done correctly. 
The work flow from Dashboard ID = 128 ""Application is Approved and Issued (Time Extended)"" 
was then going to Notify Road Operation page instead of the Applicant Provided Notice. 

",2/3/15 15:33,NDOT - IRWIN,,,
Change Request - Improvement,Functionality Incomplete,IRWIN-154,Associated Permits,Closed,Unassigned,10/4/11 16:17,"1. Need to see all associated permits. 
2. Need to add a link on the system ID # (Link to Application Detail page) 

Margaret Nutt",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,System Error,IRWIN-155,Grids in Searching are not working correctly.,Closed,Unassigned,10/7/11 10:10,"Grids are not showing all records and giving errors. The paging is not working correctly. 

Process to reproduce issue on Simple Searches 
ADMIN/ManageSimpleSearches.aspx 
ADMIN/DefaultDisplayFields.aspx 

Admin -> Simple Search -> DB Connection tab 
1. In Application drop down list select Permitting 
2. Click Simple Searches tab 
3. Notice that you only see 10 records in the grid but really there are 19 records. If you go to Configuration -> System and change the Display drop down list from 10 to 20 and click Apply button at the bottom. Now do steps 1 - 2 again you will see all of the 19 records. What is missing is the paging functionality on the grid. 

",2/3/15 15:33,NDOT - IRWIN,,,
Database Subtask,Functionality Incomplete,IRWIN-461,IRWIN-155 Simple Search - Display Fields tab - Need to display all records in the grid.,Closed,Unassigned,8/3/12 16:15,"Admin/DefaultDisplayFields.aspx 

put the perPageCount as 500 in all the method calls.",2/3/15 15:34,NDOT - IRWIN,,,
Data Configuration,Data Update,IRWIN-156,Creating an Amendment,Closed,Unassigned,10/7/11 10:16,"Only happened to 1 record. 
When adding an Amendment to Legacy data standard permit it is not setting the Dashboard ID to correctly and the location information is not getting added.",2/3/15 15:33,NDOT - IRWIN,,,
Data Configuration,Data Update,IRWIN-157,Create tool to update Issued Date,Closed,Unassigned,10/10/11 15:06,"Enter System ID #, Permit #, and Date to be used. 
",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,System Error,IRWIN-158,Unable to load document for HQ Permit for System ID 200311,Closed,Unassigned,10/11/11 13:40,"From: Nutt, Margaret M [mailto:MNutt@dot.state.nv.us] 
Sent: Tuesday, October 11, 2011 1:32 PM 
To: Conley, Brian 
Subject: FW: 200311 

This is the permit that I cannot import documents for, it is our first 
HQ Permit. 

Margaret Nutt",2/3/15 15:33,NDOT - IRWIN,,,
Data Configuration,Data Update,IRWIN-159,Unable to see all records when doing a Search,Closed,Unassigned,10/11/11 14:11,"From: Adcox, Elizabeth R 
Sent: Tuesday, October 11, 2011 11:22 AM 
To: Nutt, Margaret M 
Cc: Reede, Michon L; Pratt, Christen R; Smith, Steven R 
Subject: Missing Permit 113456 

Hi Margaret, 

Sorry to bug you with this but I cannot find permit 113456 in the IRWIN system. It was there before and now it is gone. It was on my dashboard in the ""Application is Approved and Issued - Waiting on Work Notification"" and I was looking for the physical file so I could update it in the system if it had a work notification and now it is gone. I asked Michon and she can't find it either. We've tried the search option with the first name, last name, permit number (113456 - Wesley Isefuku),and it does not come up, it does exist, it is just not in IRWIN. It is not a super rush or anything just if you could look into it when you have a chance. I have no idea what happened. 

Thanks for your help, 

Elizabeth Adcox 
Engineering Technician I 
Nevada Department of Transportation 
District II, Permits Office 
310 Galletti Way 
Sparks, NV 89431 
Office: (775) 834-8330 
Fax: (775) 834-8331 
Email: eadcox@dot.state.nv.us 
",2/3/15 15:33,NDOT - IRWIN,,,
Data Configuration,Data Update,IRWIN-162,Add Reference data to Admin - Picklist,Closed,Unassigned,10/11/11 18:49,,2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-163,Result List page - View Details needs to go to Application Details page,Closed,Unassigned,10/11/11 18:50,,2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-165,Category Type: Temporary Permit will not save,Closed,Unassigned,10/12/11 13:46,On Application Details page when trying to assign workorder number by using Category Type.,2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-166,Performance measure report,Closed,Unassigned,10/13/11 13:42,"From: Nutt, Margaret M [mailto:MNutt@dot.state.nv.us] 
Sent: Thursday, October 13, 2011 12:37 PM 
To: Conley, Brian 
Subject: FW: Performance measure report 
Importance: High 


This is what the current Performance Measurement Report looks like. This 
is a custom report for IRWIN. 

Margaret Nutt 

From: Bowman, William L 
Sent: Thursday, October 13, 2011 9:48 AM 
To: Saucedo, Paul A; Martin, Robert J 
Cc: Nutt, Margaret M; Borrelli, Ruth M 
Subject: Performance measure report 
Importance: High 

I've attached the report that I compiled for the first quarter of FY 
2011. I'm a bit surprised by the numbers but then again the Districts 
were concentrating on getting the permits processed and not fully 
utilizing the new system. I pulled a list of all permits that were 
accepted beginning July 1 and ending on September 30th. I verified 
issue dates and if any ran over the 45 working days I looked to see if 
they had required additional information which of course adds days to 
the review. The numbers are fairly consistent with what we've shown in 
the past. 

In developing this report by hand, one change that I would propose to 
improve the accuracy of the report, would be to do the following; 

1) Provide the information for the current quarter as attached. 

2) For the second quarter, provide this same report but also 
include a report that combines the first and second quarters. This 
improves the accuracy because now we're looking at the permits that were 
accepted near the end of the first quarter but not yet issued. 

3) The third quarter report would again provide the information for 
the quarter but also include a report that shows the first three 
quarters combined and then of course do the same for the final quarter 
of the year. 

For the most part the information in IRWIN was accurate, the problems 
occurred when the coordinators hadn't updated to reflect that there was 
additional information required from the permittee. There were also a 
handful of permits that had been issued (I verified issuance by viewing 
the scanned permit in AX/5) but the step necessary to show it as issued 
in the IRWIN system was never completed. I would imagine once these few 
are cleaned up and they get better at utilizing the system this will 
become a non issue. 

Margaret and I should be able to develop the report so that it can be 
run automatically through IRWIN for the next quarter. Please let me 
know if you agree that the report should reflect the running total for 
the year as suggested and let me know if you have any questions. 

Bill Bowman 
",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-167,Associated Document,Closed,Unassigned,10/13/11 19:04,"There are 21 documents in AX for 200369, but when you view the grid on 
the page it list 20(pag1 of 1) 

http://irwappsrv1/IRWIN/PERMITTING/COMMON/DOCMANAGEMENT_PERM.ASPX 

Margaret Nutt",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Look and Feel,IRWIN-168,DISPLAY DATE IN THE GRID ON THE DOCMGT PAGE,Closed,Unassigned,10/17/11 14:05,"http://irwappsrv1/IRWIN/PERMITTING/COMMON/DOCMANAGEMENT_PERM.ASPX 



Display the date field after the DocType and Label ""Uploaded"" , 
fieldname = FIELD18 


Margaret Nutt",2/3/15 15:33,NDOT - IRWIN,,,
Data Configuration,Data Update,IRWIN-169,Required doc's,Closed,Unassigned,10/18/11 16:47,"From: Nutt, Margaret M [mailto:MNutt@dot.state.nv.us] 
Sent: Monday, October 17, 2011 6:04 PM 
To: Conley, Brian 
Subject: Required doc's 



I add a lot of documents but I did not enter the Req_Docs_ID nor did I 
change the existing ones...ok 



Margaret Nutt 


[Created via e-mail received from: ""Conley, Brian"" <bconley@sds-inc.com>]",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Look and Feel,IRWIN-171,Billboards - Inspection - Javascript popup when entering a date not with the Calendar control has 'Calendar' misspelled,Closed,Unassigned,10/19/11 14:09,Spelled 'Calender' should be 'Calendar',2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Look and Feel,IRWIN-172,Inspection - Javascript popup on Inspection Grid Delete link needs a '?' at the end of the message,Closed,Unassigned,10/19/11 14:16,,2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-174,Delete Project,Closed,Unassigned,10/20/11 16:07,"PST5 - Delete Project functionality 
Need to hide ""IRWIN Project Version"" and textbox 
Need to add ""Project Status"" label with a dropdown list. With the values ""Active"" / ""Inactive"" where ""IRWIN Project Version"" was at.",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-175,IFS payment information but no agreement number,Closed,Unassigned,10/20/11 16:41,"ACQ22 - When in Acquisition Module under Acquisition process when I go into the pages where IFS is location it is show a lot of IFS payment information but no agreement number were entered . USE: Project Number ""Acquisition - Today""",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-177,Blue Panel on all pages.,Closed,Unassigned,10/20/11 16:49,"ACQ8 - Blue Panel on all pages. 
Need to remove ""R/W Plan Sheet Number(s)) and reorder the panel information. Brian will provide new screen look for the panel",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-178,Add View link to show the Task Assignments,Closed,Unassigned,10/20/11 16:50,"PST25 - Need to add View link to show the Task Assignments popup but the Save button needs to 
be disabled. The edit functionality is CORRECT. Brian is designing the interface. Wait until completed 
",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-179,"Need to change ""ROW Agent"" to ""Project Manager""",Closed,Unassigned,10/20/11 16:52,"PST9 - ACQUISITION/PROJECT_MANAGEMENT/PROJECTSETUP.ASPX; 
Project Information Section - Need to change ""ROW Agent"" to ""Project Manager"" Also Brian needs to determine how the values are determined and what agent type / individual type it should be.",2/3/15 15:33,NDOT - IRWIN,,,
Change Request - New Feature,Functionality Incomplete,IRWIN-180,Task List setup where a user can assign people to a parcel.,Closed,Testing Team,10/20/11 16:55,"ACQ17 - Need to have Task List setup where a user can assign people to a parcel. Document is completed Attached: PST25, DOC,11, DOC12, ACQ17 - Assigning People to a Project and Parcel.doc 

Documentation Approved per Client. SDS did the Project but was not informed about the Parcel association. 

",2/3/15 15:33,NDOT - IRWIN,,,
Change Request - Improvement,Functionality Incomplete,IRWIN-181,Contacts Functionality,Closed,Brian Conley,10/20/11 16:57,"PST18 - Contacts needs to have the following added. 
1. Need to remove the Project Information (Blue Panel) where you can add contacts without having a project. 
2. Need to validate ALL of the Individual Types and Agent Types and where are they being used. 
3. Need to remove the required field for Agent Type 
4. Need to have the ability to assign a NDOT employee to multiple Individual Types and then see those types. 
5. Need to add ""Project Manager"" and ""ROW Engineer Tech"" 
6. Need to see Individuals / Businesses in all modules and sections. Meaning when you add a person in Title you can see them in property management.",2/3/15 15:33,NDOT - IRWIN,,,
Database Subtask,Functionality Incomplete,IRWIN-160,IRWIN-181 Need to associated multiple business types to a business.,Closed,Unassigned,10/11/11 17:25,"Need to associate multiple Business Types to a business 
Need to associate multiple Individual Types to an individual 
",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-182,"Need to change ""ROW Agent"" to ""ROW Eng. Tech""",Closed,Unassigned,10/20/11 16:58,"PST19 - Project Setup - Parcel Entry page. 
Inventory Information Section - Need to change ""ROW Agent"" to ""ROW Eng. Tech"" Also Brian needs to determine how the values are determined and what agent type / individual type it should be. 
",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-183,Not able to search on the Property Management Number,Closed,Unassigned,10/20/11 16:59,PM20 - Not able to search on the Property Management Number because it is not stored in the database as one field,2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-186,Need to reset all session variables when entering PM from another module.,Closed,Unassigned,10/20/11 17:02,PM26 - Need to reset all session variables when entering PM from another module.,2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-187,Blue Panel design change.,Closed,Unassigned,10/20/11 17:03,"ACQ28 - Design layout to account for Acquisition Agent and the PST Blue Panel design change. 
Design & Functionality approved by client. Brian is working on Functionality document.",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Look and Feel,IRWIN-188,Blue Panel for PM for all pages needs to be changed.,Closed,Unassigned,10/20/11 17:07,"PM30 - Blue Panel for PM for all pages needs to be changed. 
get with Brian on this.",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-189,Utilities Calculator and Rental Assistance Calc,Closed,Unassigned,10/20/11 17:10,"ACQ31 - ACQ - Relocation 
Test the following @ SDS and then @ NDOT:Res Tenant page Payment Information Section under the Project Information tab 
NEED to show the details how the Utilities Calculator and Rental Assistance Calc amounts were done. Test enter the data into the Utilities Calculator and Rental Assistance Calc and click OK and then click Save. Then refresh the page and click on the Utilities Calculator and Rental Assistance Calc again and you will see that the data is not there. NEED to fix these issues.",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-190,Need to fix the IFS Payment Information section,Closed,Unassigned,10/20/11 17:12,"ACQ32 - Test @ SDS and @ NDOT: 
Acquisition - Relocation 
General Information - IFS Payment Information section 
Need to fix the IFS Payment Information section because it is showing all records in the grid where it should to only return IFS Payment Information for that specific agreement number when I click on Show Payments. 
",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-191,How is IRWIN going to display linked IFS information if it is removed from the linked IFS table?,Closed,Unassigned,10/20/11 17:13,"PST33 
Project Setup & Tracking 
How is IRWIN going to display linked IFS information if it is removed from the linked IFS table? 

This is related to how we are getting the data from IFS. Since we will not be given access to the Production Servers, need information from NDOT to determine what to do with IRWIN. Need to schedule a conference call w/ at least Jwoods, Bconley, Mnutt@NDOT and TPilant@NDOT. Will request on 7/26. 

7/26 asked margaret to provide a time that will work. 

7/27 Plan is to use IRWIN Data (if populated) to augment the drop down list read from IFS. Will need to be applied to Agreement number, Contract Number, EA Number, and Work Order Number. Will communicate this plan on the call.",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-192,"Get a ""Active"" on Manage Business Search Page",Closed,Unassigned,10/24/11 16:31,Need to add Is Active to the search list and result list.,2/3/15 15:33,NDOT - IRWIN,,,
Development Task,Functionality Incomplete,IRWIN-193,Function FUNC_ADM_GET_ONHOLD_TIME,Closed,Unassigned,10/31/11 9:34,"In the process of consolidating the NDOT permitting updates into the ALDOT base I found that one of the functions, FUNC_ADM_GET_ONHOLD_TIME, should actually be placed into the permitting schema where it righfully belongs. I have already made the changes in the ALDOT database codebase. Brian, you should consider making this change in the NDOT database codebase, especially if you are planning on absorbing any ADMIN related database updates we make in the future. 
",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-194,Missing Permit # in email,Closed,Unassigned,11/7/11 14:43,"When permit email is created for ""IRWIN: at stage Application in Review 
by Chief ROW Agent"" the Permit # does not appear. 



Margaret Nutt 


[Created via e-mail received from: ""Conley, Brian"" <bconley@sds-inc.com>]",2/3/15 15:33,NDOT - IRWIN,,,
Data Configuration,System Error,IRWIN-195,Reporting Module,Closed,Unassigned,11/7/11 16:01,"Please turn on the Reporting Module on the next release. 

Margaret Nutt",2/3/15 15:33,NDOT - IRWIN,,,
Data Configuration,Functionality Incomplete,IRWIN-197,Configure Searching,Closed,Unassigned,11/8/11 10:36,,2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-198,"Need Data Link to IFS for Agreements, Contracts, and Work Order numbers",Closed,Unassigned,11/9/11 14:11,"ACQUISITION\PROJECT_MANAGEMENT\ProjectSetup.aspx.vb 
",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-199,Document Management Page - Not Working,Closed,Unassigned,11/16/11 14:42,"The folder structure for Billboards needs to be ROW_BILLBOARD 

Make it work like Permitting does. 

On the Billboard module of the AX piece: Is it the same as the Permit on IRWIN side, the thing different on the AX side is the separate application ""ROW_BILLBOARD"", the connector field is the Permit#(field2) instead of the system ID(field1) like the Permit Module, 

Can we talk about this tomorrow. 

Margaret Nutt 
IRWIN Project Lead 
Nevada Department of Transportation 
Hours: 7:00AM - 4:00PM Mon-Fri 
Phone: 775 888-7425 
Mobile: 775-461-6875 
mnutt@dot.state.nv.us 

",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-201,Amendments Final Inspection,Closed,Unassigned,11/17/11 14:35,"

From: Reede, Michon L 
Sent: Thursday, November 17, 2011 12:15 PM 
To: Nutt, Margaret M 
Cc: Smith, Steven R; Pratt, Christen R 
Subject: Amendments Final Inspection 

Hi Margaret - It looks like when an amendment is pushed to the stage 
""Final Inspection"" it goes to the Permit Coordinator dashboard and not 
the inspector's dashboard. I'm not sure if this is a glitch or a onetime 
error with this amendment. See the attached screen shots for more info. 

Thanks, 
Michon",2/3/15 15:33,NDOT - IRWIN,,,
Data Configuration,Data Update,IRWIN-202,Change Dashboard Names,Closed,Unassigned,11/29/11 9:51,"I looked at the workflow, which I hate and totally agree. 

Margaret Nutt 

GM Margaret, 
I have review the workflows and suggest the following below. 
Let me know, 
Brian 

108 - Permit Denied by Engineer and Permit Coordinator 
Change to: 
108 - Notify Applicant that Permit was Denied by District Engineer 

95 - Permit Denied by Inspector / Traffic Engineer and Permit Coordinator 
Change to: 
95 - Notify Applicant that Permit was Denied by Inspector 

From: Nutt, Margaret M 
Sent: Monday, November 28, 2011 12:06 PM 
To: Nutt, Margaret M 
Subject: RE: Check this out! 

Should we display ""Permit Denied ???"" 

Margaret Nutt -- 

[Created via e-mail received from: ""Conley, Brian"" <bconley@sds-inc.com>]",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-203,Remove Reset button,Closed,Unassigned,12/5/11 13:52,"PERMITTING/TEMPORARY/VIEWTMPEVENT.ASPX 
Remove Reset button",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-205,Annual Permit Exemptions unable to save.,Closed,Unassigned,12/5/11 14:14,"PERMITTING/ANNUAL/ADDEXEMPTION.ASPX 
Select County ""Carson City"" 
Click Apply 
Click OK on popup 
Type ""a"" in Description 
Click Apply",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-206,Email Subject is wrong.,Closed,Unassigned,12/5/11 14:22,AIRS: at stage Permit in Review by Inspector / Traffic Engineer,2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-208,Additional 15 days,Closed,Unassigned,12/5/11 14:37,"System ID: 200050 
Permit Type: Amendment 

PERMITTING/COMMON/ViewApplication.aspx 
PERMITTING/STANDARD/PDPCReviewDocumentsAcquired.aspx 

Each review after the first review will get 15 additional days. So If Review Count for any division is 3 then 30 days will be added to the timeframe.",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-210,Email popup wrong for Inspector,Closed,Unassigned,12/5/11 14:48,"System ID: 200050
Permit Type: Amendment
Start with Dashboard ID: 124

After work completed email popup did not put Inspector for Final Inspection stage.",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-211,Final Inspection going to wrong User Type,Closed,Unassigned,12/5/11 14:52,"System ID: 200050
Permit Type: Amendment (need to check all)

When going to Final Inspection stage the Inspector / Traffic Engineer is the User Type not the Permit Coordinator.",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-212,Email popup not correct,Closed,Unassigned,12/5/11 14:58,"System ID: 200050 
Permit Type: Amendment 

When stage ""Demand Letter Final Notice"" and you send to Legal. Email popup is not populating the Subject or Body correctly.",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-213,Remove duplicate color type.,Closed,Unassigned,12/5/11 15:12,"Permitting/Temporary/TMPLocation.aspx 
New Applicaton under location page it is showing 3 TEST - COLOR dropdown list values. need to remove them.",2/3/15 15:33,NDOT - IRWIN,,,
Data Configuration,Data Update,IRWIN-214,Update Start Date,Closed,Unassigned,12/5/11 15:45,"Amendments create after the approved date. Need a tool to update the 
submit date. 

Margaret Nutt",2/3/15 15:33,NDOT - IRWIN,,,
Database Subtask,Functionality Incomplete,IRWIN-223,IRWIN-214 FUNC_ADM_BUSINESS_TIME_ELAPSED,Closed,Unassigned,12/13/11 12:34,"FUNC_ADM_BUSINESS_TIME_ELAPSED 

SELECT 
TO_CHAR(TO_DATE('12/09/2011 16:00:00','MM-DD-YYYY HH24:MI:SS'),'MM-DD-YYYY HH:MI:SS AM') AS START_DATE, 
TO_CHAR(NVL(TO_DATE('12/09/2011 17:30:00','MM-DD-YYYY HH24:MI:SS'),sysdate),'MM-DD-YYYY HH:MI:SS AM') AS END_DATE, 
FUNC_ADM_BUSINESS_TIME_ELAPSED(TO_DATE('12/09/2011 16:00:00','MM-DD-YYYY HH24:MI:SS'),TO_DATE('12/09/2011 17:30:00','MM-DD-YYYY HH24:MI:SS'),'07:30:00','16:30:00','Y','Y') as DURATION 
FROM PRM_APPLICATION_PERMIT PAP WHERE pap.APPLICATION_PERMIT_NO = '200007'; 

Mani, 
Ok, I see your logic. Let me review the code, and see what is happening.",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-215,Duplicate Documents in dropdown list.,Closed,Unassigned,12/5/11 15:51,"PERMITTING/COMMON/VIEWAPPLICATION.ASPX 
System ID: 200051 
Permit Type: Standard 

Need to remove the duplicate documents from dropdown list.",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-216,"Stage name with â€""",Closed,Unassigned,12/5/11 16:29,"System ID: 200051 
Permit Type: Standard 
After getting approved by FHWA. 

at stage (Application in Review â€"" Signature Acquired by District Engineer(s)) has been assigned to you for Permitting",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-217,Notification page not sending emails.,Closed,Unassigned,12/5/11 16:32,"PERMITTING/COMMON/Notification.aspx 

System ID: 2000050 
Permit Type: Standard 

Notification page not sending emails.",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-218,Law Enforcement Notification page did not email,Closed,Unassigned,12/5/11 16:34,"PERMITTING/COMMON/NotificationLawEnforcement.aspx 

Application is Approved and Issued - Waiting on Work Notification 

Law Enforcement Notification page did not email 
",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-220,Adding additional reviewers within same division.,Closed,Unassigned,12/6/11 11:51,"System ID: 200007 
Permit Type: STD 

Brian Conley & Jerry Hoover are in structures division. 

Brian did his initial review and now the permit coordinator adds Hoover for review in structures division. 

It should have not put Hoovers name in the record and also not check the Review Required for Brian. The database is correct but the grid view is not.",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-221,Change Approved to Accepted on Step 2,Closed,Unassigned,12/9/11 14:48,"TEMPORARY/InspectorTrafficEngineerApproval.aspx 


Regards, 

Brian Conley | Software Engineer | Direct Line: 615-791-3892 | 
bconley@sds-inc.com 

Smart Data Strategies, Inc (SDS) | Phone: 615-794-5280 | Fax: 
615-794-5310 

Visit SDS at Corporate <http://www.sds-inc.com/> , Twitter 
<http://twitter.com/#!/DREAMaps> , and Facebook 
<http://www.facebook.com/pages/Smart-Data-Strategies-Inc/336844621316> 






[Created via e-mail received from: ""Conley, Brian"" <bconley@sds-inc.com>]",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-222,Supplemental Workflow not working,Closed,Unassigned,12/9/11 14:48,"Supplemental Workflow not working 


Reno has completed multiple with the last one back on 11/18/2011. Worked 
fine, now it goes to in review by inspector and the authorization will 
not move any further. Even though it says it has moved to the next 
stage. HELP!!!! 


Margaret Nutt",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-226,No Email information is being populated when canceling application,Closed,Unassigned,12/16/11 10:26,"No Email information is being populated. 

95 - Notify Applicant that Permit was Denied by Inspector 


No information(Permit #) 

Margaret Nutt 
IRWIN Project Lead 
Nevada Department  of Transportation 
Hours: 7:00AM - 4:00PM Mon-Fri 
Phone: 775 888-7425 
Mobile: 775-461-6875 
mnutt@dot.state.nv.us 


-----Original Message----- 
From: mnutt@dot.state.nv.us [mailto:mnutt@dot.state.nv.us] 
Sent: Thursday, December 15, 2011 1:55 PM 
To: bconley@sds-inc.com; Nutt, Margaret M; Pratt, Christen R; Nutt, Margaret M 
Subject: Cancel / Revoked Application 




This communication, including any attachments, may contain confidential information and is intended only for the individual or entity to whom it is addressed. Any review, dissemination or copying of this communication by anyone other than the intended recipient is strictly prohibited. If you are not the intended recipient, please contact the sender by reply e-mail and delete all copies of the original message. 


[Created via e-mail received from: ""Nutt, Margaret M"" <MNutt@dot.state.nv.us>]",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-227,Unable to view ADMIN->Pick List result set,Closed,Unassigned,12/16/11 12:32,"Added column widths to Is_Active and Edit columns. 
ADMIN\PickList.aspx 
ADMIN\PickList.aspx.vb",2/3/15 15:33,NDOT - IRWIN,,,
